Zeit	Kanal A
(s)	(mV)

0.00000000	-5.60716000
0.00010000	-5.60716000
0.00020000	-7.84940900
0.00030000	-4.48449800
0.00040000	-4.48449800
0.00050000	-5.60716000
0.00060000	-3.36491100
0.00070000	-6.72982200
0.00080000	-4.48449800
0.00090000	-3.36491100
0.00100000	-6.72982200
0.00110000	-7.84940900
0.00120000	-4.48449800
0.00130000	-4.48449800
0.00140000	-5.60716000
0.00150000	-4.48449800
0.00160000	-5.60716000
0.00170000	-3.36491100
0.00180000	-4.48449800
0.00190000	-4.48449800
0.00200000	-5.60716000
0.00210000	-4.48449800
0.00220000	-4.48449800
0.00230000	-6.72982200
0.00240000	-4.48449800
0.00250000	-4.48449800
0.00260000	-4.48449800
0.00270000	-3.36491100
0.00280000	-3.36491100
0.00290000	-5.60716000
0.00300000	-6.72982200
0.00310000	-4.48449800
0.00320000	-3.36491100
0.00330000	-4.48449800
0.00340000	-3.36491100
0.00350000	-4.48449800
0.00360000	-5.60716000
0.00370000	-5.60716000
0.00380000	-4.48449800
0.00390000	-5.60716000
0.00400000	-10.09473000
0.00410000	-6.72982200
0.00420000	-4.48449800
0.00430000	-5.60716000
0.00440000	-5.60716000
0.00450000	-4.48449800
0.00460000	-4.48449800
0.00470000	-4.48449800
0.00480000	-4.48449800
0.00490000	-4.48449800
0.00500000	-4.48449800
0.00510000	-5.60716000
0.00520000	-4.48449800
0.00530000	-4.48449800
0.00540000	-3.36491100
0.00550000	-4.48449800
0.00560000	-4.48449800
0.00570000	-5.60716000
0.00580000	-4.48449800
0.00590000	-4.48449800
0.00600000	-4.48449800
0.00610000	-4.48449800
0.00620000	-4.48449800
0.00630000	-5.60716000
0.00640000	-4.48449800
0.00650000	-6.72982200
0.00660000	-5.60716000
0.00670000	-6.72982200
0.00680000	-3.36491100
0.00690000	-6.72982200
0.00700000	-5.60716000
0.00710000	-4.48449800
0.00720000	-5.60716000
0.00730000	-4.48449800
0.00740000	-5.60716000
0.00750000	-4.48449800
0.00760000	-4.48449800
0.00770000	-4.48449800
0.00780000	-5.60716000
0.00790000	-4.48449800
0.00800000	-5.60716000
0.00810000	-4.48449800
0.00820000	-4.48449800
0.00830000	-5.60716000
0.00840000	-4.48449800
0.00850000	-5.60716000
0.00860000	-5.60716000
0.00870000	-4.48449800
0.00880000	-4.48449800
0.00890000	-4.48449800
0.00900000	-4.48449800
0.00910000	-5.60716000
0.00920000	-7.84940900
0.00930000	-5.60716000
0.00940000	-4.48449800
0.00950000	-5.60716000
0.00960000	-5.60716000
0.00970000	-5.60716000
0.00980000	-6.72982200
0.00990000	-4.48449800
0.01000000	-4.48449800
0.01010000	-4.48449800
0.01020000	-5.60716000
0.01030000	-5.60716000
0.01040000	-4.48449800
0.01050000	-4.48449800
0.01060000	-5.60716000
0.01070000	-6.72982200
0.01080000	-3.36491100
0.01090000	-7.84940900
0.01100000	-11.21740000
0.01110000	-5.60716000
0.01120000	-4.48449800
0.01130000	-4.48449800
0.01140000	-6.72982200
0.01150000	-4.48449800
0.01160000	-4.48449800
0.01170000	-4.48449800
0.01180000	-4.48449800
0.01190000	-4.48449800
0.01200000	-4.48449800
0.01210000	-5.60716000
0.01220000	-4.48449800
0.01230000	-4.48449800
0.01240000	-5.60716000
0.01250000	-4.48449800
0.01260000	-5.60716000
0.01270000	-5.60716000
0.01280000	-5.60716000
0.01290000	-5.60716000
0.01300000	-5.60716000
0.01310000	-6.72982200
0.01320000	-4.48449800
0.01330000	-5.60716000
0.01340000	-5.60716000
0.01350000	-5.60716000
0.01360000	-4.48449800
0.01370000	-4.48449800
0.01380000	-4.48449800
0.01390000	-5.60716000
0.01400000	-5.60716000
0.01410000	-5.60716000
0.01420000	-5.60716000
0.01430000	-5.60716000
0.01440000	-4.48449800
0.01450000	-6.72982200
0.01460000	-6.72982200
0.01470000	-6.72982200
0.01480000	-5.60716000
0.01490000	-5.60716000
0.01500000	-5.60716000
0.01510000	-4.48449800
0.01520000	-4.48449800
0.01530000	-5.60716000
0.01540000	-4.48449800
0.01550000	-10.09473000
0.01560000	-6.72982200
0.01570000	-4.48449800
0.01580000	-5.60716000
0.01590000	-5.60716000
0.01600000	-5.60716000
