STEP - Plot	Volt - Plot
0	1.9257
3	1.9257
6	1.9257
9	1.9208
12	1.9208
15	1.9208
18	1.9208
21	1.9208
24	1.9159
27	1.9159
30	1.9159
33	1.911
36	1.911
39	1.911
42	1.9062
45	1.9062
48	1.9062
51	1.9013
54	1.9013
57	1.9013
60	1.8964
63	1.8964
66	1.8915
69	1.8915
72	1.8866
75	1.8866
78	1.8866
81	1.8817
84	1.8817
87	1.8768
90	1.8768
93	1.8768
96	1.8768
99	1.8719
102	1.8719
105	1.8671
108	1.8671
111	1.8622
114	1.8622
117	1.8573
120	1.8573
123	1.8524
126	1.8524
129	1.8524
132	1.8475
135	1.8475
138	1.8426
141	1.8377
144	1.8377
147	1.8328
150	1.828
153	1.828
156	1.8231
159	1.8182
162	1.8133
165	1.8133
168	1.8084
171	1.8035
174	1.7986
177	1.7986
180	1.7937
183	1.7889
186	1.7889
189	1.784
192	1.7791
195	1.7742
198	1.7742
201	1.7693
204	1.7644
207	1.7595
210	1.7595
213	1.7546
216	1.7498
219	1.7498
222	1.7449
225	1.74
228	1.7351
231	1.7351
234	1.7302
237	1.7253
240	1.7253
243	1.7204
246	1.7155
249	1.7107
252	1.7107
255	1.7058
258	1.7009
261	1.696
264	1.696
267	1.6911
270	1.6862
273	1.6862
276	1.6813
279	1.6764
282	1.6764
285	1.6716
288	1.6716
291	1.6667
294	1.6618
297	1.6618
300	1.6569
303	1.6569
306	1.652
309	1.652
312	1.6471
315	1.6471
318	1.6422
321	1.6373
324	1.6373
327	1.6373
330	1.6325
333	1.6325
336	1.6276
339	1.6276
342	1.6227
345	1.6227
348	1.6178
351	1.6178
354	1.6178
357	1.6129
360	1.6129
363	1.6129
366	1.6129
369	1.608
372	1.608
375	1.608
378	1.608
381	1.6031
384	1.6031
387	1.6031
390	1.6031
393	1.5982
396	1.5982
399	1.5982
402	1.5982
405	1.5982
408	1.5982
411	1.5982
414	1.5982
417	1.5982
420	1.5982
423	1.5982
426	1.5982
429	1.5982
432	1.5982
435	1.5982
438	1.5982
441	1.5982
444	1.5982
447	1.5982
450	1.5982
453	1.5982
456	1.5982
459	1.5982
462	1.5982
465	1.6031
468	1.6031
471	1.6031
474	1.6031
477	1.6031
480	1.6031
483	1.6031
486	1.6031
489	1.6031
492	1.6031
495	1.608
498	1.608
501	1.608
504	1.608
507	1.608
510	1.608
513	1.6129
516	1.6129
519	1.6129
522	1.6129
525	1.6129
528	1.6129
531	1.6129
534	1.6129
537	1.6178
540	1.6178
543	1.6178
546	1.6178
549	1.6227
552	1.6227
555	1.6227
558	1.6227
561	1.6227
564	1.6227
567	1.6276
570	1.6276
573	1.6276
576	1.6276
579	1.6325
582	1.6325
585	1.6325
588	1.6325
591	1.6325
594	1.6373
597	1.6373
600	1.6422
603	1.6422
606	1.6422
609	1.6471
612	1.6471
615	1.652
618	1.652
621	1.652
624	1.6569
627	1.6618
630	1.6618
633	1.6667
636	1.6667
639	1.6716
642	1.6716
645	1.6764
648	1.6764
651	1.6813
654	1.6862
657	1.6862
660	1.6911
663	1.696
666	1.696
669	1.7009
672	1.7058
675	1.7058
678	1.7107
681	1.7155
684	1.7204
687	1.7253
690	1.7253
693	1.7302
696	1.7351
699	1.74
702	1.74
705	1.7449
708	1.7498
711	1.7498
714	1.7546
717	1.7595
720	1.7644
723	1.7693
726	1.7693
729	1.7742
732	1.7791
735	1.7791
738	1.784
741	1.7889
744	1.7889
747	1.7937
750	1.7986
753	1.7986
756	1.8035
759	1.8035
762	1.8084
765	1.8084
768	1.8133
771	1.8133
774	1.8182
777	1.8182
780	1.8231
783	1.8231
786	1.828
789	1.828
792	1.8328
795	1.8328
798	1.8328
801	1.8377
804	1.8377
807	1.8377
810	1.8426
813	1.8426
816	1.8426
819	1.8426
822	1.8475
825	1.8475
828	1.8475
831	1.8524
834	1.8524
837	1.8524
840	1.8573
843	1.8573
846	1.8573
849	1.8573
852	1.8622
855	1.8622
858	1.8622
861	1.8622
864	1.8671
867	1.8671
870	1.8671
873	1.8671
876	1.8719
879	1.8719
882	1.8719
885	1.8719
888	1.8768
891	1.8768
894	1.8768
897	1.8768
900	1.8817
903	1.8817
906	1.8817
909	1.8817
912	1.8817
915	1.8817
918	1.8866
921	1.8866
924	1.8866
927	1.8866
