STEP - Plot	Volt - Plot
0	1.9648
16	1.9648
32	1.9648
48	1.9648
64	1.9648
80	1.9697
96	1.9697
112	1.9697
128	1.9746
144	1.9746
160	1.9746
176	1.9746
192	1.9795
208	1.9795
224	1.9795
240	1.9795
256	1.9795
272	1.9844
288	1.9844
304	1.9844
320	1.9844
336	1.9844
352	1.9844
368	1.9844
384	1.9844
400	1.9844
416	1.9844
432	1.9844
448	1.9844
464	1.9844
480	1.9892
496	1.9892
512	1.9892
528	1.9892
544	1.9892
560	1.9892
576	1.9844
592	1.9844
608	1.9844
624	1.9844
640	1.9892
656	1.9844
672	1.9844
688	1.9844
704	1.9844
720	1.9844
736	1.9844
752	1.9795
768	1.9795
784	1.9795
800	1.9795
816	1.9795
832	1.9795
848	1.9795
864	1.9795
880	1.9795
896	1.9795
912	1.9795
928	1.9795
944	1.9795
960	1.9795
976	1.9795
992	1.9746
1008	1.9746
1024	1.9697
1040	1.9648
1056	1.9599
1072	1.955
1088	1.9453
1104	1.9404
1120	1.9257
1136	1.9159
1152	1.9013
1168	1.8866
1184	1.8719
1200	1.8573
1216	1.8426
1232	1.828
1248	1.8182
1264	1.8133
1280	1.8133
1296	1.828
1312	1.8475
1328	1.8719
1344	1.8915
1360	1.911
1376	1.9208
1392	1.9306
1408	1.9453
1424	1.9501
1440	1.9599
1456	1.9648
1472	1.9648
1488	1.9697
1504	1.9697
1520	1.9697
1536	1.9697
1552	1.9697
1568	1.9648
1584	1.9697
1600	1.9697
1616	1.9746
1632	1.9746
1648	1.9795
1664	1.9844
1680	1.9844
1696	1.9844
1712	1.9844
1728	1.9844
1744	1.9844
1760	1.9844
1776	1.9844
1792	1.9844
1808	1.9844
1824	1.9844
1840	1.9844
1856	1.9844
1872	1.9844
1888	1.9844
1904	1.9844
1920	1.9844
1936	1.9844
1952	1.9844
1968	1.9844
1984	1.9844
2000	1.9795
2016	1.9844
2032	1.9844
2048	1.9844
2064	1.9795
2080	1.9795
2096	1.9795
2112	1.9795
2128	1.9795
2144	1.9746
2160	1.9746
2176	1.9746
2192	1.9746
2208	1.9697
2224	1.9697
2240	1.9648
2256	1.9648
2272	1.9648
2288	1.9648
2304	1.9599
2320	1.9648
2336	1.9648
2352	1.9648
2368	1.9648
2384	1.9648
2400	1.9648
2416	1.9599
2432	1.9599
2448	1.9599
2464	1.9599
2480	1.9599
2496	1.955
2512	1.955
2528	1.9501
2544	1.9501
2560	1.9453
2576	1.9453
2592	1.9453
2608	1.9453
2624	1.9453
2640	1.9501
2656	1.9501
2672	1.9501
2688	1.9501
2704	1.955
2720	1.955
2736	1.955
2752	1.9599
2768	1.9599
2784	1.9599
2800	1.9599
2816	1.9599
2832	1.9599
2848	1.9599
2864	1.9599
2880	1.9599
2896	1.9599
2912	1.9599
2928	1.9599
2944	1.9599
2960	1.9599
2976	1.9599
2992	1.9599
3008	1.9599
3024	1.9599
3040	1.9599
3056	1.9599
3072	1.955
3088	1.955
3104	1.955
3120	1.955
3136	1.955
3152	1.9501
3168	1.9501
3184	1.9501
