STEP - Plot	Volt - Plot
0	2.0577
-16	2.0626
-32	2.0626
-48	2.0626
-64	2.0674
-80	2.0674
-96	2.0674
-112	2.0723
-128	2.0723
-144	2.0723
-160	2.0723
-176	2.0723
-192	2.0674
-208	2.0674
-224	2.0626
-240	2.0626
-256	2.0626
-272	2.0577
-288	2.0528
-304	2.0528
-320	2.0479
-336	2.0479
-352	2.0479
-368	2.0479
-384	2.0479
-400	2.0479
-416	2.0528
-432	2.0528
-448	2.0528
-464	2.0577
-480	2.0626
-496	2.0674
-512	2.0723
-528	2.0772
-544	2.0821
-560	2.0821
-576	2.087
-592	2.087
-608	2.0919
-624	2.0919
-640	2.0919
-656	2.0968
-672	2.0968
-688	2.0919
-704	2.0919
-720	2.0919
-736	2.0919
-752	2.087
-768	2.087
-784	2.0919
-800	2.0919
-816	2.0919
-832	2.0919
-848	2.0919
-864	2.0919
-880	2.0919
-896	2.0919
-912	2.0919
-928	2.087
-944	2.087
-960	2.087
-976	2.087
-992	2.0821
-1008	2.0821
-1024	2.0821
-1040	2.0772
-1056	2.0723
-1072	2.0723
-1088	2.0723
-1104	2.0723
-1120	2.0674
-1136	2.0626
-1152	2.0626
-1168	2.0577
-1184	2.0528
-1200	2.0528
-1216	2.0479
-1232	2.0381
-1248	2.0332
-1264	2.0235
-1280	2.0186
-1296	2.0088
-1312	1.9941
-1328	1.9795
-1344	1.9648
-1360	1.9453
-1376	1.9306
-1392	1.911
-1408	1.8866
-1424	1.8622
-1440	1.8377
-1456	1.8133
-1472	1.784
-1488	1.7595
-1504	1.7253
-1520	1.696
-1536	1.6667
-1552	1.6325
-1568	1.6031
-1584	1.5738
-1600	1.5396
-1616	1.5103
-1632	1.4761
-1648	1.4418
-1664	1.4076
-1680	1.3734
-1696	1.3392
-1712	1.305
-1728	1.2757
-1744	1.2414
-1760	1.2072
-1776	1.173
-1792	1.1388
-1808	1.1046
-1824	1.0753
-1840	1.0459
-1856	1.0166
-1872	0.9922
-1888	0.9677
-1904	0.9482
-1920	0.9286
-1936	0.9091
-1952	0.8895
-1968	0.87
-1984	0.8504
-2000	0.8309
-2016	0.8162
-2032	0.7967
-2048	0.782
-2064	0.7674
-2080	0.7527
-2096	0.738
-2112	0.7234
-2128	0.7087
-2144	0.694
-2160	0.6843
-2176	0.6696
-2192	0.6549
-2208	0.6403
-2224	0.6305
-2240	0.6158
-2256	0.6061
-2272	0.5914
-2288	0.5816
-2304	0.5718
-2320	0.5621
-2336	0.5523
-2352	0.5425
-2368	0.5327
-2384	0.523
-2400	0.5132
-2416	0.5034
-2432	0.4936
-2448	0.4839
-2464	0.4741
-2480	0.4643
-2496	0.4594
-2512	0.4497
-2528	0.4399
-2544	0.435
-2560	0.4252
-2576	0.4203
-2592	0.4106
-2608	0.4057
-2624	0.3959
-2640	0.391
-2656	0.3812
-2672	0.3763
-2688	0.3715
-2704	0.3666
-2720	0.3568
-2736	0.3519
-2752	0.347
-2768	0.3421
-2784	0.3372
-2800	0.3324
-2816	0.3275
-2832	0.3226
-2848	0.3177
-2864	0.3128
-2880	0.3079
-2896	0.303
-2912	0.2981
-2928	0.2933
-2944	0.2884
-2960	0.2884
-2976	0.2835
-2992	0.2786
-3008	0.2737
-3024	0.2688
-3040	0.2688
-3056	0.2639
-3072	0.259
-3088	0.2542
-3104	0.2542
-3120	0.2493
-3136	0.2444
-3152	0.2444
-3168	0.2395
-3184	0.2346
