STEP - Plot	Volt - Plot
0	2.1701
-16	2.1652
-32	2.1652
-48	2.1652
-64	2.1652
-80	2.1701
-96	2.1701
-112	2.175
-128	2.175
-144	2.1799
-160	2.1799
-176	2.1799
-192	2.1799
-208	2.175
-224	2.1799
-240	2.1799
-256	2.1799
-272	2.1848
-288	2.1799
-304	2.1799
-320	2.1799
-336	2.1799
-352	2.1848
-368	2.1848
-384	2.1848
-400	2.1896
-416	2.1896
-432	2.1896
-448	2.1896
-464	2.1848
-480	2.1799
-496	2.1799
-512	2.1799
-528	2.1799
-544	2.1848
-560	2.1848
-576	2.1799
-592	2.175
-608	2.175
-624	2.1799
-640	2.1848
-656	2.1896
-672	2.1896
-688	2.1945
-704	2.1994
-720	2.1994
-736	2.1994
-752	2.2043
-768	2.2043
-784	2.2092
-800	2.2141
-816	2.2141
-832	2.2141
-848	2.2141
-864	2.2141
-880	2.219
-896	2.2239
-912	2.2287
-928	2.2336
-944	2.2336
-960	2.2385
-976	2.2336
-992	2.2336
-1008	2.2336
-1024	2.2336
-1040	2.2385
-1056	2.2385
-1072	2.2385
-1088	2.2385
-1104	2.2385
-1120	2.2336
-1136	2.2336
-1152	2.2287
-1168	2.2287
-1184	2.2336
-1200	2.2385
-1216	2.2434
-1232	2.2483
-1248	2.2532
-1264	2.2532
-1280	2.2532
-1296	2.2483
-1312	2.2483
-1328	2.2532
-1344	2.2532
-1360	2.2581
-1376	2.2581
-1392	2.2581
-1408	2.2581
-1424	2.2581
-1440	2.2581
-1456	2.263
-1472	2.263
-1488	2.2678
-1504	2.2678
-1520	2.2727
-1536	2.2727
-1552	2.2727
-1568	2.2727
-1584	2.2678
-1600	2.2678
-1616	2.2678
-1632	2.2727
-1648	2.2727
-1664	2.2776
-1680	2.2776
-1696	2.2776
-1712	2.2727
-1728	2.2727
-1744	2.2727
-1760	2.2776
-1776	2.2776
-1792	2.2825
-1808	2.2825
-1824	2.2874
-1840	2.2874
-1856	2.2923
-1872	2.2923
-1888	2.2874
-1904	2.2874
-1920	2.2874
-1936	2.2874
-1952	2.2874
-1968	2.2874
-1984	2.2874
-2000	2.2825
-2016	2.2776
-2032	2.2727
-2048	2.2776
-2064	2.2776
-2080	2.2776
-2096	2.2825
-2112	2.2923
-2128	2.2972
-2144	2.3021
-2160	2.3021
-2176	2.3021
-2192	2.3021
-2208	2.3021
-2224	2.3021
-2240	2.3021
-2256	2.3021
-2272	2.3021
-2288	2.3021
-2304	2.3021
-2320	2.3021
-2336	2.2972
-2352	2.2972
-2368	2.2923
-2384	2.2923
-2400	2.2923
-2416	2.2923
-2432	2.2923
-2448	2.2972
-2464	2.2972
-2480	2.3021
-2496	2.3021
-2512	2.3069
-2528	2.3069
-2544	2.3118
-2560	2.3118
-2576	2.3167
-2592	2.3167
-2608	2.3118
-2624	2.3167
-2640	2.3167
-2656	2.3069
-2672	2.3021
-2688	2.2825
-2704	2.2776
-2720	2.2825
-2736	2.2923
-2752	2.3021
-2768	2.3118
-2784	2.3167
-2800	2.3216
-2816	2.3265
-2832	2.3265
-2848	2.3265
-2864	2.3265
-2880	2.3265
-2896	2.3265
-2912	2.3216
-2928	2.3216
-2944	2.3265
-2960	2.3265
-2976	2.3314
-2992	2.3314
-3008	2.3314
-3024	2.3363
-3040	2.3363
-3056	2.3363
-3072	2.3363
-3088	2.3363
-3104	2.3314
-3120	2.3314
-3136	2.3363
-3152	2.3363
-3168	2.3412
-3184	2.3412
